                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.056,                0.95746,                 1.2377,                0.83396,                0.86044,                0.89972,                0.66205,                 0.9678,                0.62159,                 1.2142,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.0587,                0.94329,                 1.2399,                 0.8304,                0.86403,                0.89947,                0.66512,                0.96654,                 0.6146,                 1.2136,               0.008317,               0.008317,               0.008317
                     36,                  1.049,                0.92273,                 1.2361,                0.82961,                0.86923,                0.89759,                0.66202,                0.96404,                0.61283,                 1.2156,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0531,                0.92615,                 1.2368,                0.83283,                0.87145,                0.90029,                0.66652,                0.96201,                0.60551,                  1.213,               0.008218,               0.008218,               0.008218
                     38,                 1.0487,                0.92303,                 1.2338,                0.83284,                0.86809,                0.89899,                0.66459,                0.96056,                0.60847,                 1.2098,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0443,                0.90783,                 1.2285,                 0.8344,                0.87534,                0.90578,                 0.6708,                0.95511,                0.59666,                 1.2056,               0.008119,               0.008119,               0.008119
                     40,                 1.0443,                0.91532,                 1.2277,                0.83323,                0.88137,                 0.9099,                0.67757,                 0.9499,                0.58897,                 1.1996,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.0443,                0.91381,                 1.2265,                0.84946,                0.87317,                0.91067,                0.67885,                0.94908,                0.58751,                 1.2002,                0.00802,                0.00802,                0.00802
                     42,                 1.0423,                0.90587,                 1.2267,                0.84726,                0.88149,                0.91332,                0.68212,                0.94522,                0.57543,                 1.1972,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0358,                0.89716,                 1.2291,                0.84925,                0.88461,                 0.9169,                0.68516,                0.94013,                0.56419,                 1.1935,               0.007921,               0.007921,               0.007921
                     44,                  1.044,                0.89591,                 1.2287,                0.84802,                 0.8836,                0.91618,                0.68699,                0.93571,                0.57139,                 1.1883,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0397,                0.89115,                 1.2234,                0.84948,                0.88922,                0.91904,                0.68764,                0.93576,                0.56398,                 1.1876,               0.007822,               0.007822,               0.007822
                     46,                 1.0331,                0.87715,                 1.2237,                0.85595,                0.88888,                0.92035,                0.69093,                0.93269,                0.55653,                 1.1861,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0332,                0.88359,                 1.2206,                0.85525,                0.88647,                0.92082,                0.69244,                0.92984,                0.56159,                 1.1835,               0.007723,               0.007723,               0.007723
                     48,                 1.0361,                0.88415,                 1.2245,                0.85168,                0.89397,                0.92432,                0.69359,                 0.9319,                0.55266,                 1.1854,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0294,                0.88061,                 1.2237,                0.85974,                0.88984,                0.92533,                0.69736,                0.92652,                0.54729,                 1.1856,               0.007624,               0.007624,               0.007624
                     50,                 1.0318,                0.86327,                 1.2219,                 0.8582,                0.89905,                0.92659,                0.69975,                0.92163,                0.54101,                 1.1787,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.0183,                0.85842,                 1.2141,                0.85979,                 0.8981,                0.92755,                0.69995,                0.92201,                0.53995,                 1.1789,               0.007525,               0.007525,               0.007525
                     52,                 1.0252,                0.85329,                 1.2179,                0.86954,                 0.8935,                0.92888,                0.70213,                0.91565,                 0.5358,                 1.1742,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0201,                 0.8468,                  1.216,                0.86583,                0.89871,                0.93127,                0.70544,                0.91325,                 0.5295,                 1.1737,               0.007426,               0.007426,               0.007426
                     54,                 1.0229,                0.84998,                 1.2146,                0.86671,                0.89736,                0.93098,                 0.7056,                0.91271,                0.53084,                 1.1723,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.0216,                0.84654,                 1.2179,                0.86434,                0.89926,                0.93104,                 0.7057,                0.91343,                0.52741,                 1.1725,               0.007327,               0.007327,               0.007327
                     56,                  1.015,                0.84065,                 1.2126,                0.86851,                 0.8987,                0.93357,                0.70841,                0.90762,                0.52069,                 1.1698,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.0162,                0.83451,                 1.2095,                  0.868,                0.90251,                0.93498,                0.71081,                0.90536,                0.51505,                 1.1674,               0.007228,               0.007228,               0.007228
                     58,                 1.0058,                0.82338,                 1.2074,                0.86769,                0.90546,                0.93509,                0.71092,                0.90559,                0.51518,                 1.1666,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0167,                0.84026,                 1.2159,                0.87247,                0.90505,                 0.9358,                0.71267,                 0.9022,                0.51412,                 1.1653,               0.007129,               0.007129,               0.007129
                     60,                 1.0141,                0.83136,                 1.2111,                0.87723,                0.90498,                0.93769,                0.71542,                0.89922,                0.50858,                 1.1623,              0.0070795,              0.0070795,              0.0070795
                     61,                   1.01,                0.81795,                 1.2034,                0.87824,                0.90474,                0.93812,                  0.716,                0.89853,                0.50758,                 1.1604,                0.00703,                0.00703,                0.00703
                     62,                 1.0065,                0.81526,                 1.2077,                0.87822,                0.90691,                0.93923,                0.71727,                0.89553,                0.50472,                 1.1585,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0074,                0.82026,                 1.2045,                 0.8759,                   0.91,                 0.9405,                0.71863,                 0.8933,                0.50328,                 1.1568,               0.006931,               0.006931,               0.006931
                     64,                 1.0057,                0.81397,                 1.2035,                0.87648,                0.91116,                0.94109,                0.72035,                0.89142,                0.49942,                 1.1552,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0054,                0.81397,                 1.2075,                0.88021,                0.91016,                0.94179,                0.72176,                0.88998,                0.49596,                 1.1544,               0.006832,               0.006832,               0.006832
                     66,                 0.9989,                0.80108,                 1.2034,                0.88205,                0.91037,                0.94268,                0.72335,                0.88739,                 0.4934,                 1.1525,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0025,                 0.8077,                  1.203,                0.88417,                0.91153,                0.94309,                0.72383,                 0.8859,                0.49181,                 1.1506,               0.006733,               0.006733,               0.006733
