                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0547,                0.69263,                 1.2885,                0.89707,                0.93614,                0.95219,                0.70737,                0.96855,                0.50504,                 1.2944,               0.008878,               0.008878,               0.008878
                     36,                 1.0412,                0.68269,                 1.2759,                 0.9057,                0.93537,                0.95466,                0.71357,                0.95054,                 0.4921,                 1.2832,               0.008845,               0.008845,               0.008845
                     37,                 1.0602,                0.69969,                 1.2911,                0.90257,                0.93397,                0.95537,                0.71258,                0.95392,                0.51034,                 1.2872,               0.008812,               0.008812,               0.008812
                     38,                 1.0419,                0.69058,                 1.2757,                 0.9107,                0.93764,                0.95859,                 0.7156,                0.94916,                 0.4919,                  1.277,               0.008779,               0.008779,               0.008779
                     39,                 1.0524,                0.69061,                 1.2734,                0.91388,                0.93531,                0.95682,                0.71737,                0.94978,                0.49368,                  1.286,               0.008746,               0.008746,               0.008746
                     40,                 1.0422,                0.66938,                 1.2713,                0.90344,                0.94371,                0.95552,                 0.7138,                0.95678,                0.49376,                 1.2829,               0.008713,               0.008713,               0.008713
                     41,                  1.036,                0.67753,                 1.2805,                 0.9145,                0.93943,                0.95989,                 0.7194,                0.93348,                 0.4845,                 1.2766,                0.00868,                0.00868,                0.00868
                     42,                 1.0299,                0.66983,                 1.2735,                0.91162,                 0.9427,                0.96025,                0.72207,                0.93309,                0.47744,                 1.2676,               0.008647,               0.008647,               0.008647
                     43,                 1.0278,                0.66026,                 1.2692,                 0.9172,                0.94175,                0.96322,                0.72553,                0.92761,                0.47587,                 1.2664,               0.008614,               0.008614,               0.008614
                     44,                 1.0233,                0.65559,                 1.2643,                0.92638,                0.93672,                 0.9651,                0.72956,                 0.9203,                0.46808,                 1.2612,               0.008581,               0.008581,               0.008581
                     45,                 1.0312,                0.65629,                 1.2694,                0.91464,                0.94088,                 0.9596,                0.72311,                0.92381,                0.47232,                 1.2611,               0.008548,               0.008548,               0.008548
                     46,                 1.0313,                0.66309,                 1.2647,                 0.9052,                0.94518,                0.95998,                0.72535,                0.92396,                0.47507,                 1.2577,               0.008515,               0.008515,               0.008515
                     47,                 1.0284,                0.65496,                 1.2616,                0.90952,                0.95291,                0.96302,                0.73156,                0.92071,                0.46396,                 1.2566,               0.008482,               0.008482,               0.008482
                     48,                 1.0315,                0.65116,                 1.2635,                0.92347,                0.93694,                0.96299,                 0.7329,                0.91941,                0.46784,                  1.254,               0.008449,               0.008449,               0.008449
                     49,                  1.019,                0.65285,                 1.2564,                0.90657,                0.94476,                0.96187,                0.73011,                0.92082,                0.47403,                 1.2635,               0.008416,               0.008416,               0.008416
                     50,                 1.0145,                0.64068,                 1.2551,                0.91222,                0.94233,                0.96232,                0.72763,                0.92647,                 0.4725,                 1.2558,               0.008383,               0.008383,               0.008383
                     51,                 1.0064,                0.64608,                 1.2548,                0.90787,                0.94775,                0.96516,                0.73174,                0.91846,                0.46165,                 1.2521,                0.00835,                0.00835,                0.00835
                     52,                 1.0033,                0.63038,                 1.2465,                0.92297,                0.94773,                0.96472,                  0.734,                0.90809,                0.45453,                 1.2465,               0.008317,               0.008317,               0.008317
                     53,                 1.0051,                0.63206,                 1.2475,                0.92582,                 0.9439,                0.96666,                0.73769,                0.90511,                 0.4549,                 1.2448,               0.008284,               0.008284,               0.008284
                     54,                 1.0055,                0.62476,                 1.2496,                0.92084,                0.95165,                0.96995,                0.74318,                0.89858,                0.44009,                 1.2436,               0.008251,               0.008251,               0.008251
                     55,                 1.0036,                0.63043,                 1.2509,                0.92029,                0.95638,                0.96916,                 0.7408,                0.90272,                0.44059,                 1.2404,               0.008218,               0.008218,               0.008218
                     56,                 1.0075,                0.62418,                 1.2476,                0.92166,                0.95611,                0.96957,                 0.7447,                0.88911,                0.44412,                 1.2314,               0.008185,               0.008185,               0.008185
                     57,                0.99974,                0.61364,                 1.2502,                0.92757,                0.94881,                0.96948,                0.74127,                0.89001,                0.43684,                 1.2351,               0.008152,               0.008152,               0.008152
                     58,                0.99988,                0.61518,                   1.25,                0.93178,                 0.9534,                0.97186,                0.75115,                 0.8797,                0.43084,                 1.2224,               0.008119,               0.008119,               0.008119
                     59,                 0.9995,                0.62514,                 1.2439,                0.92525,                 0.9519,                0.97167,                0.74617,                0.88752,                0.43158,                 1.2311,               0.008086,               0.008086,               0.008086
                     60,                0.98766,                0.61553,                  1.242,                0.93367,                0.95058,                0.97174,                0.74971,                0.88469,                0.43861,                  1.226,               0.008053,               0.008053,               0.008053
                     61,                0.99035,                0.61201,                  1.244,                0.92891,                0.94956,                0.96972,                0.75154,                0.87446,                0.43376,                  1.219,                0.00802,                0.00802,                0.00802
                     62,                0.98547,                 0.6113,                 1.2387,                0.93105,                0.95694,                0.97264,                0.75317,                0.86877,                0.42443,                 1.2187,               0.007987,               0.007987,               0.007987
                     63,                0.98958,                0.60956,                 1.2398,                0.92937,                0.95777,                0.97158,                0.75085,                0.88086,                0.43195,                 1.2224,               0.007954,               0.007954,               0.007954
                     64,                0.97871,                0.60161,                 1.2343,                0.93006,                0.95563,                0.97047,                0.74991,                0.87864,                0.42659,                 1.2227,               0.007921,               0.007921,               0.007921
                     65,                0.97752,                  0.602,                 1.2364,                0.92487,                0.95607,                0.97147,                0.75527,                 0.8664,                0.42125,                 1.2108,               0.007888,               0.007888,               0.007888
                     66,                0.96959,                0.59426,                 1.2234,                0.92946,                0.95561,                0.97148,                0.75469,                0.86557,                0.42182,                 1.2117,               0.007855,               0.007855,               0.007855
                     67,                0.99057,                0.60287,                 1.2336,                0.93125,                0.95162,                 0.9701,                0.75011,                0.87196,                0.42966,                 1.2163,               0.007822,               0.007822,               0.007822
                     68,                0.97491,                0.59601,                 1.2376,                0.92069,                0.95498,                0.96852,                0.75184,                0.86305,                0.42907,                 1.2131,               0.007789,               0.007789,               0.007789
                     69,                0.96842,                0.59923,                  1.224,                0.92606,                0.95865,                0.97295,                0.75734,                0.85286,                  0.415,                 1.1998,               0.007756,               0.007756,               0.007756
                     70,                0.96703,                0.58876,                 1.2201,                0.93248,                0.95542,                0.97507,                0.75869,                0.85317,                0.41259,                 1.2021,               0.007723,               0.007723,               0.007723
                     71,                 0.9591,                0.59099,                 1.2266,                0.94148,                0.95699,                0.97563,                 0.7631,                0.85384,                0.40609,                 1.2028,                0.00769,                0.00769,                0.00769
                     72,                0.97158,                0.59159,                 1.2268,                0.92801,                0.95966,                0.97316,                0.76178,                0.84951,                0.41191,                 1.2021,               0.007657,               0.007657,               0.007657
                     73,                 0.9613,                0.58181,                  1.221,                0.93395,                0.96163,                0.97556,                0.76365,                0.84415,                0.41018,                 1.1958,               0.007624,               0.007624,               0.007624
                     74,                0.96281,                0.57981,                 1.2191,                0.93747,                0.95889,                0.97398,                0.76262,                0.84343,                0.40573,                 1.1964,               0.007591,               0.007591,               0.007591
                     75,                0.96018,                0.57587,                 1.2239,                0.94144,                0.95907,                0.97532,                0.76723,                0.83636,                0.39663,                 1.1888,               0.007558,               0.007558,               0.007558
                     76,                0.95841,                0.57678,                 1.2225,                0.93895,                0.95875,                0.97455,                0.76161,                0.84187,                0.40541,                 1.1932,               0.007525,               0.007525,               0.007525
                     77,                0.96085,                0.58426,                 1.2191,                0.93611,                0.96192,                0.97624,                0.76939,                0.83247,                0.40104,                 1.1819,               0.007492,               0.007492,               0.007492
                     78,                0.95687,                0.57758,                 1.2208,                0.94068,                0.96236,                0.97757,                0.77074,                0.83513,                0.39493,                 1.1874,               0.007459,               0.007459,               0.007459
                     79,                0.96192,                0.58323,                 1.2172,                0.94079,                0.96733,                0.97736,                0.77005,                0.83348,                 0.3932,                 1.1846,               0.007426,               0.007426,               0.007426
                     80,                0.95894,                0.57298,                 1.2225,                0.93659,                0.96268,                 0.9767,                0.77022,                0.83364,                0.40311,                 1.1865,               0.007393,               0.007393,               0.007393
                     81,                0.93871,                0.57278,                 1.2047,                0.94019,                0.96541,                0.97795,                0.77382,                0.82274,                0.38954,                 1.1772,                0.00736,                0.00736,                0.00736
                     82,                0.94472,                0.57036,                 1.2098,                0.94845,                0.95925,                0.97873,                0.77551,                 0.8218,                0.38738,                 1.1752,               0.007327,               0.007327,               0.007327
                     83,                0.95396,                0.57682,                 1.2171,                0.94242,                0.96331,                0.97847,                 0.7759,                0.81788,                0.39194,                 1.1713,               0.007294,               0.007294,               0.007294
                     84,                0.94239,                0.57677,                 1.2193,                0.94606,                0.96113,                0.97953,                0.77995,                0.80952,                0.38448,                 1.1713,               0.007261,               0.007261,               0.007261
                     85,                0.94872,                0.57687,                 1.2147,                0.93816,                0.96227,                  0.978,                0.77538,                 0.8128,                0.38795,                 1.1712,               0.007228,               0.007228,               0.007228
                     86,                0.93927,                0.56373,                 1.2123,                  0.942,                0.96379,                 0.9774,                0.77715,                0.80885,                0.38365,                 1.1711,               0.007195,               0.007195,               0.007195
                     87,                0.93701,                0.56816,                 1.2099,                0.94073,                0.96547,                0.97841,                0.77755,                0.80948,                0.38876,                 1.1683,               0.007162,               0.007162,               0.007162
                     88,                0.95551,                0.57254,                 1.2165,                0.93803,                0.96885,                0.97851,                0.77718,                0.80718,                0.38682,                 1.1649,               0.007129,               0.007129,               0.007129
                     89,                 0.9326,                0.55342,                 1.2028,                0.94807,                0.96584,                0.97994,                0.78082,                0.80444,                0.38388,                 1.1664,               0.007096,               0.007096,               0.007096
                     90,                0.92812,                 0.5535,                 1.2062,                0.94167,                0.96621,                0.97847,                0.77986,                0.80438,                0.38263,                 1.1642,               0.007063,               0.007063,               0.007063
                     91,                0.92982,                 0.5622,                 1.2027,                0.94187,                0.96959,                0.97802,                 0.7815,                0.79895,                0.37812,                 1.1616,                0.00703,                0.00703,                0.00703
                     92,                0.94176,                 0.5579,                 1.2005,                0.94659,                0.96571,                 0.9792,                0.78351,                 0.7954,                0.37428,                 1.1587,               0.006997,               0.006997,               0.006997
                     93,                0.92279,                0.55347,                 1.1977,                0.94459,                0.96703,                0.97848,                0.78309,                 0.7872,                0.37664,                 1.1528,               0.006964,               0.006964,               0.006964
                     94,                0.93157,                0.55919,                 1.2037,                0.94811,                0.96804,                0.98207,                0.78691,                0.79186,                0.37385,                 1.1584,               0.006931,               0.006931,               0.006931
                     95,                0.91075,                0.54856,                 1.1936,                0.94235,                0.97121,                0.98085,                0.78669,                0.78752,                0.37324,                 1.1482,               0.006898,               0.006898,               0.006898
                     96,                0.92908,                0.54533,                 1.2014,                0.94962,                0.96916,                0.98163,                0.79042,                0.78011,                0.36791,                 1.1462,               0.006865,               0.006865,               0.006865
                     97,                0.91613,                0.55052,                 1.1972,                0.94442,                0.97022,                0.98134,                0.78976,                0.77971,                0.37085,                 1.1464,               0.006832,               0.006832,               0.006832
                     98,                0.91585,                 0.5431,                 1.1947,                0.94898,                 0.9693,                0.98059,                0.78855,                0.77346,                0.37094,                 1.1427,               0.006799,               0.006799,               0.006799
                     99,                0.92485,                0.54562,                 1.1996,                0.94772,                0.96879,                 0.9805,                0.78712,                 0.7714,                0.37071,                 1.1405,               0.006766,               0.006766,               0.006766
                    100,                0.92126,                0.54405,                 1.1954,                0.95247,                0.96809,                0.98181,                0.79395,                0.76859,                0.36365,                 1.1369,               0.006733,               0.006733,               0.006733
                    101,                0.91038,                  0.537,                  1.194,                0.95593,                0.96739,                0.98285,                0.79502,                0.76686,                0.35903,                 1.1355,                 0.0067,                 0.0067,                 0.0067
                    102,                0.91006,                0.53898,                 1.1962,                0.95238,                0.96741,                0.98328,                0.79524,                0.76574,                0.35984,                 1.1366,               0.006667,               0.006667,               0.006667
                    103,                0.91186,                0.54365,                 1.1883,                0.95212,                0.97009,                0.98338,                0.79793,                0.76435,                0.35466,                 1.1331,               0.006634,               0.006634,               0.006634
                    104,                0.89826,                0.52933,                 1.1876,                 0.9435,                0.97358,                0.98112,                 0.7936,                0.76299,                0.36661,                 1.1348,               0.006601,               0.006601,               0.006601
                    105,                0.90314,                0.52839,                 1.1859,                0.95316,                0.97134,                0.98284,                0.79941,                0.75277,                0.35478,                 1.1286,               0.006568,               0.006568,               0.006568
                    106,                0.90628,                0.54022,                 1.1945,                0.95692,                 0.9693,                0.98302,                0.80148,                0.75731,                0.35457,                 1.1324,               0.006535,               0.006535,               0.006535
                    107,                0.91477,                0.54349,                 1.1893,                0.95208,                0.97324,                0.98306,                0.80049,                0.75445,                0.35349,                 1.1292,               0.006502,               0.006502,               0.006502
                    108,                0.90302,                0.53395,                 1.1894,                0.94945,                0.97189,                0.98275,                0.80127,                0.75221,                0.35514,                  1.128,               0.006469,               0.006469,               0.006469
                    109,                 0.9003,                0.53375,                  1.184,                0.95424,                0.96858,                0.98337,                0.80441,                0.74574,                0.35153,                  1.122,               0.006436,               0.006436,               0.006436
                    110,                0.89602,                0.53282,                 1.1843,                 0.9592,                0.96799,                0.98417,                  0.805,                0.73879,                 0.3479,                 1.1196,               0.006403,               0.006403,               0.006403
                    111,                0.89988,                 0.5298,                  1.182,                0.95101,                0.97295,                0.98447,                0.80496,                0.74161,                0.35281,                   1.12,                0.00637,                0.00637,                0.00637
                    112,                0.89125,                0.52051,                 1.1841,                0.95663,                0.97203,                0.98438,                0.80456,                0.74155,                0.34576,                 1.1206,               0.006337,               0.006337,               0.006337
                    113,                0.89307,                0.52267,                 1.1828,                0.95189,                0.97468,                0.98321,                0.80508,                0.74007,                0.35098,                 1.1193,               0.006304,               0.006304,               0.006304
                    114,                0.89267,                0.52016,                 1.1736,                0.95787,                0.97367,                0.98498,                0.81024,                0.73332,                0.34548,                 1.1115,               0.006271,               0.006271,               0.006271
                    115,                0.89468,                0.51505,                 1.1811,                 0.9573,                0.97233,                0.98532,                0.81178,                0.73097,                0.34187,                 1.1117,               0.006238,               0.006238,               0.006238
                    116,                0.88422,                0.51994,                 1.1773,                0.95834,                0.97165,                0.98525,                0.81152,                 0.7318,                0.34363,                 1.1147,               0.006205,               0.006205,               0.006205
                    117,                0.88991,                0.52169,                 1.1807,                0.95674,                0.97632,                0.98574,                0.81145,                 0.7293,                0.33937,                 1.1097,               0.006172,               0.006172,               0.006172
                    118,                0.88974,                0.51927,                 1.1786,                0.95765,                0.97361,                0.98586,                0.81397,                 0.7213,                0.33956,                 1.1063,               0.006139,               0.006139,               0.006139
                    119,                0.88474,                0.52052,                 1.1695,                0.95705,                0.97433,                0.98543,                0.81348,                0.72204,                0.33671,                 1.1061,               0.006106,               0.006106,               0.006106
                    120,                0.88063,                0.52344,                 1.1765,                0.95495,                0.97797,                0.98593,                0.81545,                0.71731,                 0.3376,                 1.1032,               0.006073,               0.006073,               0.006073
                    121,                0.88968,                0.52033,                 1.1808,                0.95682,                0.97335,                0.98583,                0.81613,                0.71469,                0.33649,                 1.1013,                0.00604,                0.00604,                0.00604
                    122,                0.88654,                0.52709,                  1.177,                0.95888,                0.97224,                0.98621,                0.81664,                0.71601,                0.33577,                 1.1024,               0.006007,               0.006007,               0.006007
                    123,                0.87364,                0.51458,                  1.172,                0.95178,                0.97703,                0.98573,                0.81695,                0.71418,                0.33586,                 1.1001,               0.005974,               0.005974,               0.005974
                    124,                 0.8817,                0.52396,                 1.1756,                0.95848,                0.97454,                0.98563,                0.81973,                0.70946,                0.33526,                 1.0996,               0.005941,               0.005941,               0.005941
                    125,                0.87641,                0.51172,                 1.1693,                0.95876,                 0.9785,                0.98646,                 0.8204,                0.70713,                0.32913,                 1.0965,               0.005908,               0.005908,               0.005908
                    126,                0.87462,                0.51421,                 1.1637,                 0.9634,                 0.9749,                0.98656,                0.81982,                0.70616,                0.32744,                 1.0936,               0.005875,               0.005875,               0.005875
                    127,                0.87553,                0.51202,                 1.1694,                0.96046,                0.97727,                0.98641,                0.81994,                0.70417,                0.32757,                 1.0912,               0.005842,               0.005842,               0.005842
                    128,                0.86585,                0.51118,                 1.1607,                0.96129,                0.97838,                0.98681,                0.82087,                0.69929,                0.32677,                 1.0888,               0.005809,               0.005809,               0.005809
                    129,                0.86771,                0.50587,                 1.1609,                0.96199,                0.97613,                0.98701,                0.82119,                 0.6973,                0.32513,                 1.0881,               0.005776,               0.005776,               0.005776
                    130,                0.86886,                0.50401,                 1.1701,                0.95928,                0.97748,                0.98695,                0.82211,                0.69612,                 0.3266,                 1.0871,               0.005743,               0.005743,               0.005743
                    131,                0.87371,                0.50874,                 1.1653,                0.96211,                0.97788,                0.98735,                0.82501,                0.69276,                0.32158,                 1.0837,                0.00571,                0.00571,                0.00571
                    132,                0.86841,                0.50587,                 1.1624,                0.96281,                0.97786,                0.98735,                0.82457,                0.69275,                0.32268,                  1.084,               0.005677,               0.005677,               0.005677
                    133,                0.86221,                0.50998,                 1.1616,                0.96385,                0.97775,                0.98732,                0.82677,                0.69008,                 0.3227,                 1.0845,               0.005644,               0.005644,               0.005644
                    134,                0.85254,                0.50105,                 1.1579,                0.96181,                 0.9797,                0.98724,                 0.8252,                0.68672,                0.32066,                 1.0824,               0.005611,               0.005611,               0.005611
                    135,                 0.8578,                0.49726,                 1.1602,                0.96382,                0.97937,                0.98785,                0.82817,                0.68258,                0.31725,                 1.0809,               0.005578,               0.005578,               0.005578
                    136,                0.85205,                0.49466,                 1.1589,                0.96488,                0.97787,                0.98773,                0.82878,                0.68061,                0.31767,                 1.0797,               0.005545,               0.005545,               0.005545
                    137,                0.85486,                0.49658,                 1.1543,                0.96278,                0.97968,                0.98733,                0.82654,                 0.6816,                0.32156,                 1.0796,               0.005512,               0.005512,               0.005512
                    138,                0.84954,                0.49758,                  1.159,                0.96739,                0.97614,                0.98749,                0.82906,                0.67827,                 0.3187,                 1.0774,               0.005479,               0.005479,               0.005479
                    139,                0.84654,                0.49361,                  1.156,                0.96756,                0.97768,                0.98697,                0.83078,                0.67446,                0.31806,                 1.0743,               0.005446,               0.005446,               0.005446
                    140,                0.85154,                0.50323,                 1.1563,                0.96479,                 0.9784,                0.98702,                0.83089,                0.66963,                0.31552,                 1.0711,               0.005413,               0.005413,               0.005413
                    141,                 0.8491,                0.49425,                 1.1558,                0.96621,                0.97833,                0.98745,                0.83256,                0.66953,                0.31491,                 1.0699,                0.00538,                0.00538,                0.00538
                    142,                 0.8461,                0.49089,                 1.1521,                0.96793,                0.97682,                0.98736,                0.83344,                0.66782,                0.31363,                 1.0699,               0.005347,               0.005347,               0.005347
                    143,                0.84045,                0.48946,                 1.1519,                0.96807,                0.97583,                0.98785,                0.83405,                0.66393,                0.31192,                 1.0659,               0.005314,               0.005314,               0.005314
                    144,                0.84909,                0.49195,                 1.1583,                0.96719,                0.97861,                0.98793,                0.83351,                0.66558,                  0.312,                 1.0681,               0.005281,               0.005281,               0.005281
                    145,                0.84639,                0.49364,                 1.1492,                0.96647,                0.97922,                0.98845,                 0.8345,                0.66386,                0.31131,                 1.0666,               0.005248,               0.005248,               0.005248
                    146,                0.85048,                0.49487,                 1.1528,                0.96648,                0.97992,                0.98895,                0.83687,                0.66025,                0.31042,                 1.0651,               0.005215,               0.005215,               0.005215
                    147,                0.83381,                0.48327,                 1.1431,                0.96797,                0.97988,                0.98875,                0.83773,                0.65666,                 0.3094,                 1.0622,               0.005182,               0.005182,               0.005182
                    148,                0.84597,                0.49403,                 1.1544,                0.96751,                0.97958,                0.98865,                0.83677,                0.65643,                0.31022,                 1.0609,               0.005149,               0.005149,               0.005149
                    149,                0.82599,                0.48181,                 1.1377,                0.96923,                0.97863,                 0.9885,                0.83847,                0.65265,                0.30914,                 1.0574,               0.005116,               0.005116,               0.005116
                    150,                0.83984,                0.48381,                 1.1409,                0.96893,                0.97986,                0.98872,                0.83853,                0.65184,                0.30628,                 1.0583,               0.005083,               0.005083,               0.005083
                    151,                0.82741,                0.48042,                 1.1429,                0.96403,                 0.9828,                0.98858,                0.83912,                0.65007,                0.30539,                 1.0573,                0.00505,                0.00505,                0.00505
                    152,                0.83288,                0.48514,                  1.148,                0.96661,                0.98261,                0.98921,                0.84141,                0.64629,                0.30349,                 1.0545,               0.005017,               0.005017,               0.005017
                    153,                0.83017,                0.47552,                  1.142,                0.96861,                0.98228,                0.98951,                0.84245,                0.64286,                0.30184,                 1.0528,               0.004984,               0.004984,               0.004984
                    154,                0.84243,                 0.4912,                 1.1483,                0.96926,                0.98217,                0.98994,                0.84385,                0.64106,                 0.3018,                 1.0518,               0.004951,               0.004951,               0.004951
                    155,                 0.8268,                0.47775,                 1.1407,                0.97068,                0.98306,                0.99009,                0.84461,                0.63919,                0.30146,                  1.051,               0.004918,               0.004918,               0.004918
                    156,                0.81698,                 0.4694,                 1.1329,                0.96955,                0.98329,                0.99026,                0.84559,                0.63651,                0.30104,                 1.0488,               0.004885,               0.004885,               0.004885
                    157,                 0.8295,                0.47531,                  1.143,                0.96666,                0.98386,                0.99018,                0.84665,                 0.6354,                0.29925,                  1.047,               0.004852,               0.004852,               0.004852
                    158,                0.82181,                0.48003,                 1.1379,                0.96863,                0.98269,                 0.9899,                0.84694,                0.63283,                0.29833,                 1.0455,               0.004819,               0.004819,               0.004819
                    159,                0.81524,                0.47552,                 1.1352,                0.97021,                0.98202,                0.98986,                0.84741,                0.63132,                0.29726,                 1.0432,               0.004786,               0.004786,               0.004786
                    160,                0.81589,                 0.4652,                 1.1347,                0.97083,                0.98263,                0.99012,                0.84855,                0.62882,                0.29553,                 1.0419,               0.004753,               0.004753,               0.004753
