                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1864,                 3.2592,                 1.3018,                0.41869,                0.50226,                0.43131,                0.29154,                 1.1515,                 2.0466,                 1.3253,               0.070048,               0.003328,               0.003328
                      1,                 1.2059,                 2.0925,                 1.2984,                0.50311,                0.56538,                0.50669,                 0.3334,                  1.178,                 1.8502,                  1.332,               0.039982,              0.0065954,              0.0065954
                      2,                 1.2454,                 1.9539,                 1.3191,                0.52426,                0.57603,                0.52515,                 0.3448,                  1.212,                 1.7746,                  1.347,                0.00985,              0.0097968,              0.0097968
                      3,                 1.2778,                 1.9328,                 1.3343,                0.52779,                0.55687,                0.52608,                0.34712,                 1.2143,                 1.6984,                 1.3639,               0.009703,               0.009703,               0.009703
                      4,                 1.2464,                 1.7678,                 1.3132,                0.55886,                0.62535,                0.58557,                0.39727,                 1.1634,                 1.5075,                 1.3097,               0.009703,               0.009703,               0.009703
                      5,                 1.2349,                 1.6566,                 1.2984,                0.60967,                0.66954,                0.66055,                0.44591,                 1.1424,                 1.3137,                 1.2787,               0.009604,               0.009604,               0.009604
                      6,                 1.2133,                 1.5545,                 1.2865,                0.61518,                0.68926,                0.67425,                0.45816,                 1.1362,                 1.2771,                 1.2785,               0.009505,               0.009505,               0.009505
                      7,                 1.2008,                 1.5027,                 1.2768,                0.64522,                0.70017,                0.70117,                0.48143,                 1.1182,                  1.154,                 1.2556,               0.009406,               0.009406,               0.009406
                      8,                 1.1944,                 1.4358,                  1.272,                0.66308,                0.71598,                0.71734,                0.50078,                 1.0991,                 1.1277,                 1.2507,               0.009307,               0.009307,               0.009307
                      9,                 1.1732,                 1.3837,                 1.2664,                0.68858,                0.70877,                0.72223,                0.50248,                 1.1021,                 1.0942,                 1.2488,               0.009208,               0.009208,               0.009208
                     10,                 1.1643,                 1.3559,                 1.2571,                 0.6997,                0.74577,                0.75982,                0.52818,                 1.0875,                 1.0086,                 1.2402,               0.009109,               0.009109,               0.009109
                     11,                  1.164,                 1.3088,                 1.2555,                0.71827,                0.74796,                0.78143,                 0.5482,                 1.0796,                0.97433,                 1.2341,                0.00901,                0.00901,                0.00901
                     12,                 1.1498,                 1.2834,                 1.2481,                 0.7076,                0.76322,                0.78493,                0.55379,                 1.0672,                0.93579,                 1.2196,               0.008911,               0.008911,               0.008911
                     13,                  1.148,                 1.2632,                 1.2459,                0.70156,                0.76283,                0.77848,                 0.5467,                 1.0671,                0.96649,                 1.2143,               0.008812,               0.008812,               0.008812
                     14,                 1.1448,                 1.2343,                 1.2435,                0.72274,                0.73718,                0.79115,                0.55715,                 1.0569,                0.91549,                 1.2045,               0.008713,               0.008713,               0.008713
                     15,                 1.1371,                 1.2107,                 1.2413,                 0.7236,                 0.7781,                0.79197,                0.55771,                 1.0572,                0.90969,                  1.211,               0.008614,               0.008614,               0.008614
                     16,                 1.1323,                 1.1913,                 1.2405,                0.75131,                0.75351,                0.79979,                0.56357,                  1.052,                0.90083,                  1.207,               0.008515,               0.008515,               0.008515
                     17,                 1.1262,                 1.1692,                 1.2284,                0.76024,                0.78914,                0.81731,                0.58053,                 1.0388,                0.85382,                 1.1933,               0.008416,               0.008416,               0.008416
                     18,                 1.1209,                 1.1545,                 1.2257,                0.76876,                0.79641,                0.82763,                0.58785,                 1.0419,                0.82176,                 1.1948,               0.008317,               0.008317,               0.008317
                     19,                  1.117,                  1.137,                 1.2237,                0.78172,                 0.7921,                0.83681,                0.60108,                  1.035,                0.79545,                 1.1828,               0.008218,               0.008218,               0.008218
                     20,                 1.1159,                 1.1365,                 1.2222,                0.77581,                0.80093,                0.84025,                0.60109,                  1.027,                0.80101,                 1.1858,               0.008119,               0.008119,               0.008119
                     21,                 1.1093,                 1.1153,                 1.2216,                0.77754,                0.80851,                0.84639,                0.60706,                 1.0285,                 0.7768,                 1.1847,                0.00802,                0.00802,                0.00802
                     22,                 1.1114,                 1.1037,                 1.2244,                0.75071,                0.82477,                0.84597,                0.60845,                  1.024,                0.78199,                  1.182,               0.007921,               0.007921,               0.007921
                     23,                 1.1052,                 1.0923,                  1.219,                0.78298,                0.81877,                0.85121,                0.61165,                  1.023,                0.76779,                 1.1825,               0.007822,               0.007822,               0.007822
                     24,                 1.0965,                 1.0744,                 1.2121,                0.78735,                0.80993,                0.84875,                0.61146,                 1.0108,                0.76972,                 1.1768,               0.007723,               0.007723,               0.007723
                     25,                 1.0922,                 1.0646,                 1.2123,                0.79653,                0.83121,                0.86781,                0.62842,                 1.0053,                0.71652,                 1.1628,               0.007624,               0.007624,               0.007624
                     26,                  1.091,                 1.0487,                 1.2096,                0.80135,                0.83299,                0.86889,                0.63011,                  1.003,                0.71541,                 1.1673,               0.007525,               0.007525,               0.007525
                     27,                 1.0892,                 1.0436,                 1.2118,                0.80869,                0.83124,                0.86904,                0.63148,                0.99825,                0.71369,                 1.1668,               0.007426,               0.007426,               0.007426
                     28,                 1.0828,                 1.0247,                  1.205,                0.80307,                0.83634,                0.87504,                0.63797,                  0.996,                0.70501,                  1.165,               0.007327,               0.007327,               0.007327
                     29,                 1.0793,                 1.0307,                 1.2059,                0.80574,                0.83754,                0.87407,                0.63706,                 0.9929,                0.70298,                 1.1583,               0.007228,               0.007228,               0.007228
                     30,                 1.0783,                 1.0249,                 1.2092,                0.80697,                0.84313,                0.87927,                 0.6417,                0.98504,                0.68629,                 1.1587,               0.007129,               0.007129,               0.007129
                     31,                 1.0784,                 1.0124,                 1.2071,                0.80294,                0.85569,                0.88258,                0.64471,                0.98339,                0.67582,                 1.1528,                0.00703,                0.00703,                0.00703
                     32,                  1.071,                0.99733,                 1.1998,                0.82178,                0.84734,                0.88659,                0.65121,                0.97877,                0.66509,                 1.1513,               0.006931,               0.006931,               0.006931
                     33,                 1.0683,                0.99401,                 1.1982,                0.81588,                0.85568,                0.88994,                 0.6537,                0.97467,                0.65621,                 1.1503,               0.006832,               0.006832,               0.006832
                     34,                  1.069,                0.99205,                 1.1966,                0.83427,                0.85319,                0.89593,                0.65924,                0.97107,                0.63876,                 1.1457,               0.006733,               0.006733,               0.006733
                     35,                 1.0683,                0.96776,                 1.1989,                0.82795,                0.85845,                0.89512,                0.65955,                0.97431,                0.63714,                 1.1451,               0.006634,               0.006634,               0.006634
                     36,                 1.0585,                0.95983,                 1.1922,                0.83107,                0.85837,                0.89695,                0.66321,                0.96832,                0.62759,                 1.1399,               0.006535,               0.006535,               0.006535
                     37,                 1.0632,                 0.9564,                 1.1926,                0.82885,                0.86855,                0.90073,                0.66618,                0.96383,                0.62118,                 1.1406,               0.006436,               0.006436,               0.006436
                     38,                 1.0595,                0.95113,                 1.1923,                0.83098,                0.86526,                0.90209,                0.66624,                0.96266,                 0.6205,                 1.1367,               0.006337,               0.006337,               0.006337
                     39,                 1.0541,                0.93743,                 1.1899,                0.82905,                0.86361,                0.90137,                 0.6686,                0.95768,                0.61837,                 1.1354,               0.006238,               0.006238,               0.006238
                     40,                 1.0559,                0.94413,                 1.1866,                0.83599,                0.87151,                  0.904,                0.67328,                0.95382,                0.60658,                 1.1267,               0.006139,               0.006139,               0.006139
                     41,                 1.0505,                0.93062,                 1.1838,                0.84232,                0.87482,                0.91022,                0.67741,                 0.9547,                0.59513,                 1.1275,                0.00604,                0.00604,                0.00604
                     42,                  1.053,                0.92725,                 1.1862,                 0.8478,                0.87659,                0.91213,                0.67881,                0.94736,                0.58912,                 1.1226,               0.005941,               0.005941,               0.005941
                     43,                  1.043,                0.92702,                 1.1872,                0.84455,                0.87783,                0.91273,                0.68026,                0.94508,                0.58691,                 1.1237,               0.005842,               0.005842,               0.005842
                     44,                 1.0496,                0.92248,                  1.187,                0.84737,                0.87279,                0.91288,                0.68122,                0.94448,                0.58726,                 1.1231,               0.005743,               0.005743,               0.005743
                     45,                 1.0457,                0.90765,                 1.1813,                0.84684,                  0.882,                 0.9159,                0.68399,                 0.9427,                0.58556,                 1.1214,               0.005644,               0.005644,               0.005644
                     46,                 1.0381,                0.89984,                 1.1774,                0.85968,                0.87799,                0.91993,                0.68807,                0.93824,                0.56867,                 1.1159,               0.005545,               0.005545,               0.005545
                     47,                 1.0393,                0.90033,                 1.1776,                0.85315,                0.88278,                0.91794,                0.68695,                0.93695,                0.57445,                 1.1186,               0.005446,               0.005446,               0.005446
                     48,                 1.0397,                0.90149,                 1.1803,                0.85039,                0.88777,                0.92073,                0.69054,                0.93323,                0.56603,                 1.1145,               0.005347,               0.005347,               0.005347
                     49,                 1.0323,                0.89023,                 1.1777,                0.85086,                0.89066,                0.92241,                0.69408,                0.93009,                0.55639,                  1.115,               0.005248,               0.005248,               0.005248
                     50,                 1.0349,                0.87534,                 1.1766,                0.85457,                0.89111,                0.92335,                0.69615,                  0.928,                0.55522,                 1.1124,               0.005149,               0.005149,               0.005149
                     51,                 1.0223,                0.86929,                 1.1726,                0.86436,                0.89028,                0.92624,                0.69637,                0.92508,                0.55169,                 1.1108,                0.00505,                0.00505,                0.00505
                     52,                 1.0264,                 0.8613,                 1.1746,                0.86407,                0.89366,                0.92659,                 0.6987,                0.92246,                0.54452,                 1.1086,               0.004951,               0.004951,               0.004951
                     53,                 1.0239,                0.85641,                 1.1701,                0.86498,                0.89345,                0.92822,                0.70043,                0.92023,                 0.5407,                 1.1067,               0.004852,               0.004852,               0.004852
                     54,                 1.0257,                0.85675,                 1.1723,                  0.865,                0.89958,                 0.9302,                0.70273,                0.91985,                 0.5391,                 1.1069,               0.004753,               0.004753,               0.004753
                     55,                  1.023,                0.85292,                 1.1721,                0.86451,                0.89934,                0.93022,                0.70333,                0.91876,                0.53575,                 1.1041,               0.004654,               0.004654,               0.004654
                     56,                 1.0143,                0.85077,                 1.1644,                0.86556,                0.89707,                0.93048,                 0.7045,                 0.9157,                0.53214,                 1.1006,               0.004555,               0.004555,               0.004555
