                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0284,                0.84934,                 1.1759,                 0.8715,                0.89042,                0.92729,                0.70054,                0.92189,                0.54198,                 1.1017,               0.008317,               0.008317,               0.008317
                     36,                 1.0193,                0.84997,                 1.1689,                0.86885,                0.89703,                0.93008,                 0.7038,                0.91552,                0.53399,                 1.0977,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.026,                0.84261,                 1.1699,                0.86515,                 0.8969,                0.93124,                 0.7053,                0.91447,                0.52983,                 1.1007,               0.008218,               0.008218,               0.008218
                     38,                 1.0244,                0.84518,                 1.1681,                0.87102,                0.90093,                0.93295,                 0.7064,                0.91171,                 0.5255,                 1.0921,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0182,                0.83362,                 1.1642,                0.86529,                0.89747,                0.93174,                0.70601,                0.90947,                0.52598,                 1.0898,               0.008119,               0.008119,               0.008119
                     40,                 1.0233,                0.84481,                 1.1677,                0.86946,                0.90528,                 0.9356,                0.71043,                0.90634,                0.52054,                 1.0912,              0.0080695,              0.0080695,              0.0080695
                     41,                  1.019,                0.83409,                 1.1658,                0.87172,                0.90445,                0.93646,                0.71143,                0.90501,                 0.5161,                 1.0941,                0.00802,                0.00802,                0.00802
                     42,                 1.0219,                0.83507,                 1.1668,                0.87257,                0.90737,                0.93713,                0.71352,                0.90025,                 0.5101,                 1.0846,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0159,                0.83727,                 1.1672,                0.87321,                 0.9106,                 0.9404,                 0.7162,                0.90054,                0.50628,                 1.0837,               0.007921,               0.007921,               0.007921
                     44,                 1.0192,                0.83105,                  1.168,                0.87664,                0.90745,                0.93886,                 0.7157,                0.89964,                0.50769,                 1.0931,              0.0078715,              0.0078715,              0.0078715
                     45,                  1.015,                0.82606,                 1.1632,                0.88355,                0.90382,                0.94038,                0.71751,                0.89716,                0.50626,                 1.0881,               0.007822,               0.007822,               0.007822
                     46,                 1.0128,                0.82473,                  1.163,                0.88178,                 0.9079,                0.94174,                0.71879,                0.89845,                0.50142,                 1.0865,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0162,                0.82665,                 1.1602,                0.87694,                0.91015,                0.94152,                0.71996,                0.89404,                0.50282,                 1.0841,               0.007723,               0.007723,               0.007723
                     48,                 1.0154,                0.82642,                 1.1669,                0.87337,                0.91575,                0.94173,                0.72018,                0.89356,                0.50341,                 1.0871,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0115,                0.82335,                 1.1663,                0.88432,                0.91001,                0.94222,                0.72277,                0.88958,                 0.4973,                 1.0849,               0.007624,               0.007624,               0.007624
                     50,                 1.0112,                0.80727,                 1.1635,                0.88032,                0.91538,                0.94413,                0.72525,                0.88595,                0.48823,                 1.0829,              0.0075745,              0.0075745,              0.0075745
