                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1765,                  3.266,                 1.4119,                0.42876,                0.50048,                0.43141,                0.28636,                 1.1468,                 2.2149,                 1.4735,               0.070048,               0.003328,               0.003328
                      1,                 1.1963,                 2.1068,                 1.3957,                0.55431,                0.57237,                0.56771,                0.37373,                 1.1801,                 1.6944,                 1.5007,               0.039916,              0.0065294,              0.0065294
                      2,                 1.2305,                 1.9635,                 1.4158,                0.46086,                0.50742,                 0.4609,                0.29422,                 1.2277,                 1.8735,                 1.5566,              0.0096521,              0.0095989,              0.0095989
                      3,                 1.2639,                 1.8962,                 1.4311,                0.55467,                 0.5998,                0.57267,                0.37557,                 1.2117,                 1.5544,                 1.5218,               0.009406,               0.009406,               0.009406
                      4,                 1.2306,                 1.7114,                 1.3947,                 0.5951,                0.61078,                0.61518,                0.41496,                 1.1714,                 1.4389,                 1.4575,               0.009406,               0.009406,               0.009406
                      5,                 1.2235,                 1.5961,                 1.3823,                0.60657,                0.65381,                0.64565,                0.43193,                 1.1617,                 1.3495,                 1.4338,               0.009208,               0.009208,               0.009208
                      6,                 1.1965,                 1.4883,                 1.3705,                0.60117,                0.65648,                0.64248,                0.43266,                 1.1506,                 1.3406,                 1.4239,                0.00901,                0.00901,                0.00901
                      7,                  1.181,                  1.427,                 1.3548,                0.70439,                0.71879,                0.74325,                0.50682,                 1.1118,                 1.0812,                 1.3831,               0.008812,               0.008812,               0.008812
                      8,                 1.1653,                 1.3587,                 1.3392,                0.68602,                0.70873,                0.72589,                0.49848,                 1.1122,                 1.1004,                 1.3747,               0.008614,               0.008614,               0.008614
                      9,                 1.1504,                 1.3119,                 1.3264,                0.71108,                0.74155,                0.76071,                0.52672,                 1.0852,                0.98686,                 1.3338,               0.008416,               0.008416,               0.008416
                     10,                 1.1379,                 1.2683,                 1.3072,                0.69687,                0.71689,                0.74927,                0.52323,                 1.0762,                  1.012,                 1.3369,               0.008218,               0.008218,               0.008218
                     11,                 1.1317,                 1.2271,                 1.2993,                0.73446,                0.77386,                0.80497,                0.56413,                 1.0638,                0.89308,                 1.3189,                0.00802,                0.00802,                0.00802
                     12,                 1.1246,                 1.1962,                 1.2954,                0.72132,                 0.7866,                0.80123,                0.56518,                 1.0541,                0.87663,                 1.3014,               0.007822,               0.007822,               0.007822
                     13,                 1.1176,                 1.1814,                 1.2898,                 0.7444,                0.76826,                0.80253,                0.56426,                 1.0522,                0.87883,                  1.296,               0.007624,               0.007624,               0.007624
                     14,                 1.1124,                 1.1408,                 1.2821,                0.73921,                0.78703,                  0.808,                0.57207,                 1.0344,                0.85033,                 1.2792,               0.007426,               0.007426,               0.007426
                     15,                 1.1023,                 1.1178,                 1.2796,                0.74843,                0.79368,                0.82117,                0.58001,                  1.038,                0.83941,                 1.2854,               0.007228,               0.007228,               0.007228
                     16,                 1.0992,                 1.1016,                 1.2749,                0.76055,                0.78004,                0.81948,                0.58503,                 1.0173,                0.82825,                 1.2745,                0.00703,                0.00703,                0.00703
                     17,                 1.0938,                 1.0769,                 1.2671,                0.77262,                0.81502,                0.84194,                0.60182,                 1.0238,                0.78032,                 1.2678,               0.006832,               0.006832,               0.006832
                     18,                 1.0863,                 1.0554,                 1.2605,                0.78563,                 0.8282,                0.85407,                0.61177,                 1.0118,                  0.746,                 1.2547,               0.006634,               0.006634,               0.006634
                     19,                  1.082,                 1.0396,                 1.2594,                0.78796,                0.81416,                0.85237,                0.61512,                 1.0155,                0.74984,                 1.2635,               0.006436,               0.006436,               0.006436
                     20,                 1.0743,                  1.033,                 1.2554,                 0.7933,                0.83512,                0.85955,                0.62259,                  1.001,                0.72281,                 1.2501,               0.006238,               0.006238,               0.006238
                     21,                 1.0687,                 1.0074,                 1.2518,                0.80274,                0.83378,                0.87037,                0.62985,                 1.0038,                 0.6997,                 1.2493,                0.00604,                0.00604,                0.00604
                     22,                 1.0708,                0.99789,                 1.2493,                0.78878,                 0.8508,                0.87521,                0.63775,                0.98891,                0.69214,                 1.2356,               0.005842,               0.005842,               0.005842
                     23,                 1.0621,                0.97852,                 1.2448,                0.81047,                0.83854,                0.87509,                0.63406,                0.99272,                0.68227,                 1.2472,               0.005644,               0.005644,               0.005644
                     24,                  1.057,                0.96618,                  1.238,                0.80981,                0.84527,                0.88048,                 0.6452,                0.98133,                 0.6687,                 1.2338,               0.005446,               0.005446,               0.005446
                     25,                 1.0518,                0.94994,                  1.239,                0.81542,                0.85171,                0.88189,                0.64452,                0.98274,                0.65876,                 1.2291,               0.005248,               0.005248,               0.005248
                     26,                 1.0476,                0.94178,                 1.2336,                0.82152,                0.85698,                0.89025,                0.65278,                0.97172,                0.64685,                 1.2231,                0.00505,                0.00505,                0.00505
                     27,                 1.0443,                0.92824,                  1.233,                 0.8397,                0.85491,                0.89533,                0.65799,                0.96618,                0.63206,                  1.218,               0.004852,               0.004852,               0.004852
                     28,                 1.0396,                0.90616,                 1.2273,                0.82932,                0.85656,                0.89325,                0.65761,                0.96831,                0.63543,                 1.2201,               0.004654,               0.004654,               0.004654
                     29,                 1.0318,                0.90722,                  1.228,                 0.8332,                0.86223,                0.90106,                0.66633,                0.95717,                0.62402,                 1.2121,               0.004456,               0.004456,               0.004456
                     30,                 1.0306,                0.89541,                  1.227,                0.83063,                0.87189,                0.90567,                0.66856,                0.95752,                0.61078,                 1.2132,               0.004258,               0.004258,               0.004258
                     31,                 1.0243,                0.88311,                 1.2217,                0.83655,                0.87927,                0.90994,                0.67509,                0.94651,                0.59615,                 1.2021,                0.00406,                0.00406,                0.00406
                     32,                  1.019,                 0.8685,                  1.218,                0.84626,                0.87334,                0.90838,                0.67426,                0.94666,                0.58917,                 1.2045,               0.003862,               0.003862,               0.003862
                     33,                 1.0177,                0.86456,                 1.2168,                0.84592,                0.87701,                0.91268,                0.68069,                0.93689,                0.58322,                 1.1965,               0.003664,               0.003664,               0.003664
                     34,                 1.0124,                0.85513,                  1.212,                0.85136,                0.88228,                0.91842,                0.68386,                0.93784,                0.57282,                 1.1968,               0.003466,               0.003466,               0.003466
                     35,                 1.0111,                  0.838,                  1.212,                0.85551,                0.88147,                0.91751,                0.68655,                 0.9321,                 0.5633,                  1.189,               0.003268,               0.003268,               0.003268
                     36,                0.99931,                0.81713,                 1.2073,                0.85224,                0.89474,                0.92298,                0.69007,                0.92926,                0.54917,                   1.19,                0.00307,                0.00307,                0.00307
                     37,                 1.0022,                0.81373,                 1.2043,                0.85801,                0.89048,                0.92262,                 0.6927,                0.92319,                 0.5488,                 1.1847,               0.002872,               0.002872,               0.002872
                     38,                0.99665,                0.80412,                 1.2045,                 0.8671,                 0.8904,                0.92637,                0.69673,                0.92001,                0.54024,                  1.183,               0.002674,               0.002674,               0.002674
                     39,                0.98987,                0.79276,                  1.201,                0.86847,                0.89092,                0.92745,                0.70033,                0.91381,                0.53553,                 1.1792,               0.002476,               0.002476,               0.002476
                     40,                0.99008,                0.79401,                  1.197,                0.86517,                0.89561,                0.93051,                0.70324,                0.91139,                0.53049,                 1.1755,               0.002278,               0.002278,               0.002278
                     41,                0.98424,                0.77569,                  1.194,                0.87185,                 0.8997,                 0.9345,                0.70663,                0.90569,                0.52128,                 1.1723,                0.00208,                0.00208,                0.00208
                     42,                0.98064,                0.77193,                 1.1927,                0.87507,                0.90169,                0.93534,                0.70928,                0.90103,                0.51349,                 1.1695,               0.001882,               0.001882,               0.001882
                     43,                  0.969,                0.76529,                 1.1919,                0.87679,                0.90188,                0.93705,                0.71111,                0.89869,                0.51043,                 1.1684,               0.001684,               0.001684,               0.001684
                     44,                0.97403,                 0.7577,                  1.191,                0.87747,                0.90713,                0.93829,                0.71569,                 0.8951,                0.50636,                 1.1655,               0.001486,               0.001486,               0.001486
                     45,                0.96663,                0.74415,                 1.1852,                0.88252,                0.90741,                0.94099,                0.71707,                0.89153,                0.50164,                 1.1634,               0.001288,               0.001288,               0.001288
                     46,                0.95982,                0.73322,                 1.1841,                0.88292,                0.90986,                0.94166,                0.71965,                0.88944,                0.49635,                 1.1609,                0.00109,                0.00109,                0.00109
                     47,                0.95807,                0.73008,                 1.1803,                0.88422,                0.90863,                0.94267,                 0.7207,                0.88628,                0.49481,                 1.1595,               0.000892,               0.000892,               0.000892
                     48,                0.95631,                0.72768,                 1.1814,                0.88855,                0.90925,                0.94378,                0.72175,                0.88494,                0.48957,                 1.1576,               0.000694,               0.000694,               0.000694
                     49,                0.94705,                0.71747,                 1.1772,                0.88699,                0.91237,                0.94573,                0.72511,                0.88075,                0.48625,                 1.1547,               0.000496,               0.000496,               0.000496
