                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.94252,                0.68472,                 1.1355,                0.89835,                0.93946,                0.95834,                0.74832,                 0.8444,                0.44458,                 1.0698,                0.00307,                0.00307,                0.00307
                     37,                0.93156,                0.67569,                 1.1355,                0.90391,                0.93805,                0.96269,                0.75471,                0.83128,                0.44163,                   1.06,               0.002872,               0.002872,               0.002872
                     38,                0.93312,                0.67982,                 1.1361,                0.89447,                0.94061,                0.96062,                0.75381,                0.83347,                0.43821,                 1.0611,               0.002674,               0.002674,               0.002674
                     39,                0.92447,                0.66991,                 1.1289,                0.90377,                0.94132,                0.96189,                0.75496,                 0.8313,                0.43811,                 1.0605,               0.002476,               0.002476,               0.002476
                     40,                0.92582,                0.66673,                 1.1263,                0.90804,                0.94072,                0.96183,                0.75886,                0.82166,                0.43051,                 1.0525,               0.002278,               0.002278,               0.002278
                     41,                 0.9086,                0.65142,                 1.1217,                0.91277,                0.93819,                0.96545,                0.76346,                0.81547,                 0.4236,                 1.0538,                0.00208,                0.00208,                0.00208
                     42,                0.91696,                0.64397,                 1.1241,                0.91115,                0.93325,                0.96257,                0.76129,                0.81616,                0.42678,                 1.0525,               0.001882,               0.001882,               0.001882
                     43,                0.91307,                0.64037,                 1.1254,                0.91759,                0.94225,                0.96592,                 0.7635,                0.81397,                0.41846,                 1.0543,               0.001684,               0.001684,               0.001684
                     44,                0.90851,                0.63077,                 1.1205,                0.91623,                0.94348,                0.96706,                0.76936,                0.80522,                0.41445,                 1.0454,               0.001486,               0.001486,               0.001486
                     45,                0.90404,                0.63628,                 1.1179,                 0.9226,                0.94884,                0.96932,                0.77235,                0.80187,                0.40761,                  1.048,               0.001288,               0.001288,               0.001288
                     46,                0.90353,                0.63286,                 1.1248,                0.91656,                0.95303,                0.96948,                0.77159,                0.79784,                0.40419,                 1.0439,                0.00109,                0.00109,                0.00109
                     47,                0.89258,                0.61442,                 1.1157,                0.91659,                0.94755,                0.96951,                 0.7724,                0.79379,                0.40716,                 1.0419,               0.000892,               0.000892,               0.000892
                     48,                0.89484,                0.61928,                 1.1178,                0.91447,                0.95011,                0.96926,                0.77339,                0.78987,                0.40473,                 1.0409,               0.000694,               0.000694,               0.000694
                     49,                0.88732,                0.60848,                 1.1125,                0.91803,                 0.9499,                0.96978,                0.77613,                 0.7873,                0.40098,                 1.0397,               0.000496,               0.000496,               0.000496
